# mode	prompt	expected_pattern	description	expected_route	primary_skill	supporting_skills
quick	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Create the implementation spec for the approved Communities moderation API contract. Do not make me write a PRD first.	plan;aw-plan;platform-services	Backend planning intent selects aw-plan plus backend domain support	plan	aw-plan	platform-services:development
quick	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Help me refine this idea for an AI-powered renewal reminder flow before we write the spec.	plan;aw-plan;idea-refine	Fuzzy concept should still resolve to aw-plan while loading idea-refine first	plan	aw-plan	idea-refine
quick	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Design a stable API contract for the approved webhook retry interface change.	plan;aw-plan;api-and-interface-design	Contract-first planning should resolve to aw-plan with api-and-interface-design support	plan	aw-plan	api-and-interface-design
quick	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Investigate this Communities moderation worker retry failure and tell me the likely fault surface before patching.	investigate;aw-investigate;grafana	Backend investigate intent selects aw-investigate plus runtime triage support	investigate	aw-investigate	platform-infra:grafana
quick	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Deploy this verified Communities feed MFA to staging.	deploy;aw-deploy;deploy-versioned-mfa;staging-deploy	Frontend deploy intent selects aw-deploy plus versioned MFA deploy support	deploy	aw-deploy	deploy-versioned-mfa,platform-infra:staging-deploy,platform-infra:production-readiness
quick	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Test this UI fix in the browser and inspect the DOM, console, and network requests.	test;aw-test;browser-testing-with-devtools	Browser-runtime proof should resolve to aw-test with DevTools support	test	aw-test	browser-testing-with-devtools
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Take the approved Communities moderation API change forward and make the required code updates in the moderation queue path.	build;aw-build;platform-services;development	Backend build intent selects aw-build plus backend development support	build	aw-build	platform-services:development,quality-gate-coder
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Simplify this already-working handler without changing behavior and keep the diff easy to review.	build;aw-build;code-simplification	Simplification work should stay in build while loading the simplification craft skill	build	aw-build	code-simplification
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Harden this callback boundary and close the obvious trust and validation gaps.	build;aw-build;security-and-hardening	Hardening work should route to aw-build with security craft support	build	aw-build	security-and-hardening
full	For the request below, answer with the primary AW public stage, the primary AW stage skill, and the first supporting platform skills you would load. Request: Measure why this page is slow, optimize the hot path, and keep the change bounded.	build;aw-build;performance-optimization	Measure-first optimization should route to aw-build with performance craft support	build	aw-build	performance-optimization
